idx,disyllable,id,V1,V2,count
1001,nagwo,l051570,a,wo,17
1002,puse,l090774,u,e,11
1003,wopu,l080235,wo,u,5
1004,gome,l030742b,o,e,1
1006,tati,l080368,a,i,5
1007,ayu,l090066,a,u,4
1008,tati,l001004,a,i,6
1009,taka,l052499,a,a,7
1010,woti,l031948b,wo,i,2
1011,pimi,l051762,i,i,1
1012,takwo,l090319,a,wo,4
1013,damwi,l050948,a,wi,1
1014,sipi,l030894b,i,i,1
1015,myepi,l051556,ye,i,2
1016,susu,l052035,u,u,2
1017,taru,l052106,a,u,4
1018,ipi,l030199b,i,i,2
1019,tugi,l031139b,u,i,9
1020,sige,l004111,i,e,5
1022,towo,l052168,o,wo,1
1023,teri,l031193b,e,i,3
1025,kiki,l030565b,i,i,4
1027,neta,l007126,e,a,1
1028,awo,l092059,a,wo,1
1029,yomo,l052411,o,o,8
1030,udi,l090067,u,i,5
1031,saki,l052506,a,i,4
1032,kaku,l052500,a,u,2
1033,pikwo,l080297,i,wo,1
1035,wemi,l031934b,e,i,2
1036,dopi,l031226b,o,i,2
1038,ono,l080002,o,o,2
1039,tata,l090321b,a,a,1
1040,poyo,l051819,o,o,1
1041,buki,l031518a,u,i,2
1042,tome,l090454,o,e,2
1043,sime,l030905a,i,e,7
1045,titi,l090372,i,i,2
1046,piro,l051780,i,o,1
1047,kape,l050157,a,e,1
1048,wope,l031954b,wo,e,1
1049,pata,l090328,a,a,1
1050,waza,l052329,a,a,6
1051,pusi,l090769,u,i,1
1052,tura,l090407,u,a,2
1053,maga,l051395,a,a,1
1054,pana,l080426,a,a,1
1055,nari,l031316b,a,i,1
1056,mosi,l051517,o,i,1
1057,soki,l030962b,o,i,4
1058,takye,l007023a,a,ye,2
1059,nakwo,l090475,a,wo,1
1060,yosi,l031871b,o,i,1
1061,paka,l051700,a,a,1
1062,kawor,l030553a,a,wo,1
1063,mikwo,l051453,i,wo,1
1064,sima,l090238,i,a,3
1065,ori,l030412a,o,i,2
1066,pata,l090620,a,a,1
1067,niki,l080268,i,i,4
1068,pupa,l051830,u,a,3
1069,kuda,l051325,u,a,1
1070,ata,l050868,a,a,4
1071,soti,l042044,o,i,1
1072,sitap,l030870a,i,a,1
1074,naka,l060116,a,a,2
1075,koro,l042092,o,o,1
1076,sami,l051876,a,i,1
1077,yuri,l000540c,u,i,2
1079,nipe,l031333b,i,e,1
1080,takye,l007023b,a,ye,1
1081,negwi,l031359a,e,wi,3
1082,keri,l080244,e,i,1
1083,ome,l051664,o,e,1
1084,ipi,l050006d,i,i,1
1085,saku,l090495,a,u,1
1086,mame,l051404,a,e,1
1087,mike,l050751,i,e,1
1088,naru,l031318a,a,u,1
1089,mote,l031762b,o,e,1
1090,kuzi,l051369,u,i,1
1091,nami,l031307a,a,i,1
1092,ipa,l050006c,i,a,6
1093,ata,l080161,a,a,1
1094,tiba,l090168,i,a,1
1096,kugi,l051328,u,i,1
1097,mita,l051483,i,a,1
1098,opi,l030372b,o,i,1
1099,kagwo,l052552,a,wo,1
1100,maki,l080255a,a,i,1
1101,seri,l051915,e,i,3
1102,tawi,l052120,a,wi,2
1103,kipa,l051270,i,a,1
1104,pazi,l090608,a,i,1
1105,magi,l031625a,a,i,1
1106,umi,l030292b,u,i,1
1107,muna,l007234,u,a,1
1108,opo,l060279,o,o,2
1109,sipwi,l090228,i,wi,2
1110,sipwi,l030895b,i,wi,2
1111,agwo,l080041,a,wo,1
1112,setwo,l090264,e,wo,1
1113,kakwo,l060049,a,wo,2
1114,mitwo,l051489,i,wo,3
1115,ase,l030038a,a,e,2
1116,masi,l030206b,a,i,1
1117,mipo,l051476,i,o,6
1118,yaya,l004048,a,a,2
1119,kapwi,l090082,a,wi,5
1120,iyo,l051152,i,o,2
